gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,ggroup
165637,20211231,2021,INDL,C,D,STD,URG,UR ENERGY INC,USD,A,1010
165678,20211231,2021,INDL,C,D,STD,CPA,COPA HOLDINGS SA,USD,A,2030
165746,20211231,2021,INDL,C,D,STD,LYV,LIVE NATION ENTERTAINMENT,USD,A,5020
165798,20210731,2021,INDL,C,D,STD,UEC,URANIUM ENERGY CORP,USD,A,1010
165856,20211231,2021,INDL,C,D,STD,HEES,H&E EQUIPMENT SERVICES INC,USD,A,2010
165914,20211231,2021,INDL,C,D,STD,CMG,CHIPOTLE MEXICAN GRILL INC,USD,A,2530
165993,20211231,2021,INDL,C,D,STD,FIS,FIDELITY NATIONAL INFO SVCS,USD,A,4510
166213,20210930,2021,INDL,C,D,STD,LQDT,LIQUIDITY SERVICES INC,USD,A,2550
166435,20211231,2021,INDL,C,D,STD,VNDA,VANDA PHARMACEUTICALS INC,USD,A,3520
166447,20210930,2021,INDL,C,D,STD,AVXL,ANAVEX LIFE SCIENCES CORP,USD,A,3520
166482,20210930,2021,INDL,C,D,STD,MWA,MUELLER WATER PRODUCTS INC,USD,A,2010
